"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/97eba442-5f6b-42a2-8d3e-9067699077b7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","35","Pestily","1764189570","136695","168112","9556","646212","530913","26191943","true","false","English","Pestily"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d31a80e8-4bdd-44b8-a300-f95ddfc7255e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","DrLupo","1744861860","172905","131048","9545","4336395","669223","55009339","true","false","English","DrLupo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8dbce7bb-bb6e-4a3b-8121-ff262b717c81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","37","OgamingLoL","1670516370","489675","204491","3482","565612","126845","72695501","true","false","French","OgamingLoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c829484a-c662-40de-a243-00ec253cabbb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","38","Clix","1651927305","94830","81926","17015","2550248","2072758","44090123","true","false","English","Clix"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6deb8144-ffef-4e5f-81aa-477403546d2b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","ROSHTEIN","1644531225","134355","36442","12013","390622","194634","19504192","false","true","English","ROSHTEIN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ef7c826a-2df5-417b-8823-13c610c302e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","40","Dota2RuHub","1635018450","127530","97998","11389","808018","129127","51675236","true","false","Russian","Dota2RuHub"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f26a992a-a661-4697-bfa4-7ca7f400b929-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","41","Evelone192","1634759535","72975","106900","20935","1179769","877194","52823632","true","false","Russian","Evelone192"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1d987a8ba88e252b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","42","한동숙 (handongsuk)","1623627810","135240","44976","12149","396506","53632","31848399","true","false","Korean","한동숙 (handongsuk)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","43","MOONMOON","1594374135","122970","29193","11820","959230","110704","13545505","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e904dabe-daf3-4e35-8943-cd1378fb2fcb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","44","Solary","1560797340","490545","23197","3201","511414","133341","47586144","true","false","French","Solary"
"https://static-cdn.jtvnw.net/jtv_user_pictures/401068e0-820a-4d9f-9e7c-1e5563398458-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","45","nl_Kripp","1539053085","159555","36027","9552","1384948","82401","19938440","true","false","English","nl_Kripp"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fbc5661c-7812-4b43-bf5e-16c3ba536d5d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","46","Gotaga","1512256110","136095","85309","10785","2566538","669124","39299111","true","false","French","Gotaga"
"https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","47","Trymacs","1512204240","117750","59096","12465","1793611","671132","25530191","true","false","German","Trymacs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/da28bd64-f6a1-4b49-9b6b-0a6faf94c700-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","48","Fresh","1495595940","137985","57431","10532","3481253","2034293","28383620","true","false","English","Fresh"
"https://static-cdn.jtvnw.net/jtv_user_pictures/72a69c72-14b9-4be8-b8cb-802bc3e5f8ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","49","DrDisrespect","1465174515","56190","66836","24964","4450718","649005","33078331","true","false","English","DrDisrespect"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","50","Myth","1446377490","126525","122552","9753","6990714","1452140","37611764","true","false","English","Myth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","51","BeyondTheSummit","1442528385","505350","116547","2837","939079","124245","44236800","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","52","juansguarnizo","1438358310","138435","64202","9915","1823588","1509071","22861954","true","false","Spanish","juansguarnizo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/139e01fe-a3f2-43fc-8f62-50748321008e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","53","LCK","1417760370","36885","171861","38446","979389","333520","30585704","true","false","English","LCK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1d41de3c-731d-41ae-b0e7-615ad74db8f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","54","Symfuhny","1386160530","152820","46532","8477","2659793","913964","22251341","true","true","English","Symfuhny"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1c8e83f7-8241-47ce-abbd-438075e95ad4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","55","Quin69","1370862435","171810","36742","7788","552279","88508","18947150","true","true","English","Quin69"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1f47965f-7961-4b64-ad6f-71808d7d7fe9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","56","Trainwreckstv","1364530620","154590","49379","8847","977657","559453","17652353","true","true","English","Trainwreckstv"
"https://static-cdn.jtvnw.net/jtv_user_pictures/sardoche-profile_image-96730a1ede6486f7-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","57","Sardoche","1363693575","164655","144066","8048","831141","369706","31899215","true","true","French","Sardoche"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","58","sneakylol","1349771190","208875","22399","6615","1690687","188339","20198400","true","false","English","sneakylol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","59","fps_shaka","1344974430","219465","43732","6159","341864","156539","25429360","true","false","Japanese","fps_shaka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6c5ba4a1-5c61-4ff6-a7f4-ac791c19aef2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","60","TFBlade","1342906950","134325","35833","9117","1057467","373723","33931164","true","false","English","TFBlade"
"https://static-cdn.jtvnw.net/jtv_user_pictures/979e9e07-675a-473d-b580-e756f0239adf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","61","RiotGamesBrazil","1336128615","37170","255542","29989","1086820","350865","31357999","true","false","Portuguese","RiotGamesBrazil"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","62","NoWay4u_Sir","1334529240","145890","24286","8882","398925","103653","23034951","true","false","German","NoWay4u_Sir"
"https://static-cdn.jtvnw.net/jtv_user_pictures/gorgc-profile_image-469e05d25a1e8594-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","63","Gorgc","1325564670","143835","56449","9027","409282","131037","21914147","true","true","English","Gorgc"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2860bc62-377d-40da-918b-470b2afe08e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","64","NOBRU","1307798895","57540","278314","21880","2215030","2056387","10160432","true","false","Portuguese","NOBRU"
"https://static-cdn.jtvnw.net/jtv_user_pictures/941b4ebc-23c9-4bee-893c-ac636a11ef4f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","65","dasMEHDI","1295912820","244890","47683","5279","313710","81573","8222182","true","true","English","dasMEHDI"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ddd88d33-6c4f-424f-9246-5f4978c93148-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","66","Mizkif","1286139300","127680","37961","9380","717217","457567","16516610","true","false","English","Mizkif"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f7d41bcc-5e5c-48b1-a2fd-a963c45b66a1-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","67","Bugha","1277392155","98145","62529","12778","3402418","2255016","41647862","true","false","English","Bugha"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b443a53e-6870-4166-8b03-a9126a88ece0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","68","JLTomy","1277163990","116940","42079","10684","470859","277036","14908725","true","false","French","JLTomy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yassuo-profile_image-cfd7ef046e50e94b-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","69","Yassuo","1268821800","105270","70587","9554","1913940","628263","32922142","true","false","English","Yassuo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/87f74c35-e57d-4a70-8fe8-13de798fc5a1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","70","AdmiralBahroo","1249625790","142245","22131","8608","796716","58651","12590454","true","false","English","AdmiralBahroo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e03d6831-97e6-4c53-bc12-cb7c4cdf304e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","71","ONSCREEN","1233063855","138285","88516","4421","916176","665869","23986925","true","false","English","ONSCREEN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/beeafc17-3ebe-4e1d-b250-404f1ea56988-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","72","pokimane","1210963935","59865","112160","18737","6224125","2633582","53646275","true","false","English","pokimane"
"https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","73","forsen","1200902190","110055","33966","10779","1397238","221271","19144930","true","true","English","forsen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/saddummy-profile_image-925b92caa01026ae-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","74","서새봄냥 (saddummy)","1200823035","185790","35474","6377","593741","73911","30893314","true","false","Korean","서새봄냥 (saddummy)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55d2c6d9-9d70-40e2-b30b-773ea9b19cd6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","75","SilverName","1181856435","100125","29927","11866","645652","120642","30461052","true","true","Russian","SilverName"
"https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","76","LVPes","1173203520","93105","233009","14077","666353","178802","55720473","true","false","Spanish","LVPes"
"https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","77","stylishnoob4","1168215735","125175","26657","9115","393469","140221","23819228","true","false","Japanese","stylishnoob4"
"https://static-cdn.jtvnw.net/jtv_user_pictures/04abc1b4-7bad-4b55-8da8-c0f1cf031bda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","78","Papaplatte","1155319710","113610","42230","9968","982116","564414","24207960","true","false","German","Papaplatte"
"https://static-cdn.jtvnw.net/jtv_user_pictures/41bcfffb-29d4-433e-a13e-6fdf40bebc89-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","79","SolaryFortnite","1146335355","388530","46710","2917","1551923","446974","25793383","true","false","French","SolaryFortnite"
"https://static-cdn.jtvnw.net/jtv_user_pictures/swagg-profile_image-a0898c1b75f6094d-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","80","Swagg","1144812540","129720","74199","8140","1016935","946031","12893935","true","false","English","Swagg"
"https://static-cdn.jtvnw.net/jtv_user_pictures/599b546a-c27f-4684-93ff-5eeecd01fb2b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","81","ZeratoR","1138415700","81840","318182","11684","1011071","272998","33741602","true","true","French","ZeratoR"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fc6f3c08-4007-4719-b9ca-7771de6e7488-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","82","Cellbit","1135386630","103650","103686","11244","1754581","928421","25049056","true","false","Portuguese","Cellbit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/877be12d-5898-416c-8f44-5ad6dc3c7931-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","83","Baiano","1130532705","103470","107069","10143","480908","403362","25326098","true","true","Portuguese","Baiano"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8dcaf96d-68ee-4fc6-bfdc-fdfc564e134a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","84","LVNDMARK","1122784425","249885","96236","4363","305123","301625","13571939","true","false","English","LVNDMARK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/96d66837-22f0-4393-89c5-2e5c2408485b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","85","buster","1095529845","58995","97838","17998","1345427","1262868","47323110","true","false","Russian","buster"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cf574922-2930-4df6-b811-8e7a171510be-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","86","WePlayEsport_EN","1094045730","129705","109802","7992","220272","185839","25875064","true","false","English","WePlayEsport_EN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/gronkh-profile_image-76b34139eaa46bb5-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","87","GRONKH","1087473735","56235","100330","18382","1254803","196402","15875203","true","true","German","GRONKH"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c3a2d34f-a063-45f1-b857-c33788527c83-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","88","NickEh30","1084178370","117585","85073","9250","1969165","1355263","33063656","true","false","English","NickEh30"
"https://static-cdn.jtvnw.net/jtv_user_pictures/maximilian_dood-profile_image-c6e12e1798861491-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","89","Maximilian_DOOD","1046095455","107190","43253","9668","856473","134247","16004738","true","false","English","Maximilian_DOOD"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d38c27f8-138c-49db-89c0-bc1d06693055-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","90","Sacriel","1039813950","161490","66781","5957","676825","133479","66625777","true","false","English","Sacriel"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a6d8c949-cf8d-4e7a-9f92-b7c81002d499-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","91","Vader","1037498820","189375","11559","5375","427841","38396","10514249","true","false","English","Vader"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","92","shroud","1023097725","33060","471281","32404","8411399","1156168","31652336","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c0f93540-556a-44a6-9c74-ea0fafea8115-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","93","lestream","1018733745","243030","40306","4103","917443","115425","29097473","true","false","French","lestream"
"https://static-cdn.jtvnw.net/jtv_user_pictures/admiralbulldog-profile_image-888d5b80958e636f-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","94","AdmiralBulldog","1016339295","158745","16681","6331","706859","66571","17443222","true","true","English","AdmiralBulldog"
"https://static-cdn.jtvnw.net/jtv_user_pictures/stray228-profile_image-ceb0393a88eb8286-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","95","Stray228","1016267550","99030","36971","10141","811089","201268","25211595","true","false","Russian","Stray228"
"https://static-cdn.jtvnw.net/jtv_user_pictures/67918770-deac-4c90-982d-4deb96048259-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","96","elded","1014130485","112590","44758","8854","2969865","1365377","18353003","true","false","Spanish","elded"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6ea01746-5596-47eb-891b-55c4511b524a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","97","Rainbow6","1013144790","95985","135471","11048","1558704","407394","16591564","true","true","English","Rainbow6"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5c1276a2-6cb5-4ae1-a4ca-268c1732ec0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","98","DreamHackCS","996637260","221835","138818","7344","1845619","252576","26940188","true","false","English","DreamHackCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99b83e5e-4c33-496b-a33a-40ea7c17ce14-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","99","Nightblue3","962611050","127635","90231","7349","2653281","147532","24014412","true","false","English","Nightblue3"
"https://static-cdn.jtvnw.net/jtv_user_pictures/faffcdce-19b9-4736-abdf-a16c765a1b60-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","100","Rakin","962421540","165180","51854","5383","1348929","569040","28395224","true","false","Portuguese","Rakin"
